Time,a_x,a_y,a_z
165.0,0.509946,-4.62874,10.0028
166.2,0.549172,-4.62874,10.042
167.2,0.588399,-4.62874,9.96355
168.6,0.509946,-4.55029,10.0028
169.6,0.431492,-5.021,10.5912
170.6,0.745305,-4.15802,10.0028
171.6,0.549172,-4.07957,9.17902
172.6,0.549172,-4.58951,9.96355
173.6,0.549172,-5.4525,8.82598
174.6,0.509946,-4.66796,9.92433
175.6,0.509946,-4.62874,10.0028
176.6,0.509946,-4.62874,9.92433
177.6,0.549172,-4.66796,9.96355
178.6,1.13757,-4.19724,10.4735
